ID_Faktur ,tgl_trx, Kode_Barang , ID_Apotek ,PelangganID,Kasir_ID,SupplierID,JumlahTerjual,Harga_Satuan,Diskon,TotalPenjualan,Keuntungan,MetodePembayaran,ChannelTransaksi
FKT00019,11-03-2026,PRD067,APT014,PLG043,KRY089,SUP074,2,41500,0.0,83000,19000,Debit,Apotek Ritel Internal
FKT00020,17/04/2026,PRD053,APT087,PLG024,KRY077,SUP002,5,73500,18400.0,349100,21600,E-Wallet,Apotek Ritel Internal
FKT00021,2026-06-05,PRD008,APT024,PLG092,KRY081,SUP075,2,36500,0.0,73000,14000,QRIS,Apotek Ritel Internal
FKT00022,2026-01-16,PRD099,APT056,PLG141,KRY036,SUP002,1,62500,3100.0,59400,5900,QRIS,Apotek Ritel Internal
FKT00023,2026-05-05,PRD024,APT038,PLG022,KRY085,SUP063,3,44500,0.0,133500,21000,Tunai,Apotek Ritel Internal
FKT00024,2026-04-12,PRD050,APT013,PLG085,KRY010,SUP076,1,49500,0.0,49500,11500,E-Wallet,Apotek Ritel Internal
FKT00025,10/08/2026,PRD046,APT002,PLG110,KRY082,SUP085,2,40000,0.0,80000,12000,Kredit,Apotek Ritel Internal
FKT00026,20/12/2026,PRD028,APT029,PLG106,KRY113,SUP049,3,61500,0.0,184500,46500,Kredit,Apotek Ritel Internal
FKT00027,12-03-2026,PRD072,APT082,PLG064,KRY080,SUP015,10,42500,0.0,425000,75000,E-Wallet,Apotek Ritel Internal
FKT00028,2026-09-06,PRD065,APT031,PLG070,KRY032,SUP039,1,81500,0.0,81500,19000,Debit,Apotek Ritel Internal
FKT00029,2026-01-30,PRD054,APT035,PLG150,KRY094,SUP007,10,53000,0.0,530000,65000,QRIS,Apotek Ritel Internal
FKT00030,17-05-2026,PRD091,APT077,PLG057,KRY117,SUP022,2,18500,0.0,37000,6000,E-Wallet,Apotek Ritel Internal
FKT00031,12/06/2026,PRD078,APT092,PLG008,KRY038,SUP062,8,45500,0.0,364000,64000,QRIS,Apotek Ritel Internal
FKT00032,2026-09-10,PRD020,APT003,PLG015,KRY030,SUP089,3,38500,0.0,115500,18000,Tunai,Apotek Ritel Internal
FKT00033,19-06-2026,PRD024,APT013,PLG046,KRY061,SUP063,1,45000,900.0,44100,6600,QRIS,Apotek Ritel Internal
FKT00034,2026-02-26,PRD099,APT096,PLG096,KRY091,SUP002,8,63000,10100.0,493900,65900,Debit,Apotek Ritel Internal
FKT00035,04/06/2026,PRD117,APT076,PLG112,KRY102,SUP007,3,88500,5300.0,260200,23200,QRIS,Apotek Ritel Internal
FKT00036,2026-12-29,PRD078,APT093,PLG092,KRY029,SUP062,3,45000,0.0,135000,22500,Debit,Apotek Ritel Internal
FKT00037,23-04-2026,PRD114,APT037,PLG146,KRY021,SUP057,1,57500,5800.0,51700,1700,E-Wallet,Apotek Ritel Internal
FKT00038,24-04-2026,PRD010,APT049,PLG085,KRY096,SUP085,1,49000,7400.0,41600,2600,QRIS,Apotek Ritel Internal
FKT00039,2026-11-22,PRD008,APT073,PLG086,KRY060,SUP075,1,35500,0.0,35500,6000,Tunai,Apotek Ritel Internal
FKT00040,29/06/2026,PRD011,APT001,PLG099,KRY072,SUP026,4,49000,19600.0,176400,6400,Kredit,Apotek Ritel Internal
FKT00041,2026-07-13,PRD044,APT084,PLG148,KRY025,SUP093,1,15000,800.0,14200,700,Tunai,Apotek Ritel Internal
FKT00042,04/06/2026,PRD006,APT016,PLG097,KRY021,SUP025,4,85000,34000.0,306000,12000,Tunai,Apotek Ritel Internal
FKT00043,23/06/2026,PRD069,APT047,PLG008,KRY047,SUP061,8,73500,11800.0,576200,52200,Kredit,Apotek Ritel Internal
FKT00044,2026-06-07,PRD117,APT039,PLG142,KRY045,SUP007,3,88500,0.0,265500,28500,Tunai,Apotek Ritel Internal
FKT00045,2026-07-21,PRD098,APT014,PLG093,KRY040,SUP046,2,64500,6400.0,122600,19600,E-Wallet,Apotek Ritel Internal
FKT00046,07-04-2026,PRD019,APT029,PLG021,KRY061,SUP043,5,39000,9800.0,185200,20200,Kredit,Apotek Ritel Internal
FKT00047,08/09/2026,PRD030,APT065,PLG100,KRY018,SUP084,2,15500,0.0,31000,8000,Kredit,Apotek Ritel Internal
FKT00048,2026-01-23,PRD053,APT023,PLG069,KRY030,SUP002,1,74500,1500.0,73000,7500,Tunai,Apotek Ritel Internal
FKT00049,2026-12-09,PRD061,APT096,PLG059,KRY071,SUP091,1,38500,1900.0,36600,4100,Kredit,Apotek Ritel Internal
FKT00050,02/10/2026,PRD112,APT058,PLG061,KRY057,SUP096,1,65000,6500.0,58500,8500,Tunai,Apotek Ritel Internal
FKT00051,15/09/2026,PRD059,APT058,PLG038,KRY035,SUP085,8,35500,,284000,44000,QRIS,Apotek Ritel Internal
FKT00052,19/04/2026,PRD012,APT041,PLG112,KRY111,SUP054,10,15500,0.0,155000,35000,E-Wallet,Apotek Ritel Internal
FKT00053,2026-05-13,PRD083,APT083,PLG023,KRY112,SUP031,3,35500,0.0,106500,25500,Debit,Apotek Ritel Internal
FKT00054,2026-09-24,PRD102,APT081,PLG134,KRY103,SUP057,1,9500,0.0,9500,1500,E-Wallet,Apotek Ritel Internal
FKT00055,2026-10-26,PRD113,APT093,PLG145,KRY100,SUP063,1,21000,2100.0,18900,3400,Debit,Apotek Ritel Internal
FKT00056,30/07/2026,PRD075,APT058,PLG122,KRY035,SUP063,1,76500,0.0,76500,17500,E-Wallet,Apotek Ritel Internal
FKT00057,15-12-2026,PRD003,APT089,PLG085,KRY089,SUP006,1,33000,0.0,33000,6000,Debit,Apotek Ritel Internal
FKT00058,10/06/2026,PRD031,APT049,PLG026,KRY112,SUP017,1,26000,3900.0,22100,0,Kredit,Apotek Ritel Internal
FKT00059,2026-06-14,PRD048,APT065,PLG049,KRY033,SUP033,1,44000,2200.0,41800,4300,E-Wallet,Apotek Ritel Internal
FKT00060,2026-07-11,PRD058,APT014,PLG080,KRY089,SUP073,1,68500,6800.0,61700,4200,Tunai,Apotek Ritel Internal
FKT00061,27-05-2026,PRD005,APT003,PLG013,KRY118,SUP086,2,79500,0.0,159000,24000,Kredit,Apotek Ritel Internal
FKT00062,16/09/2026,PRD109,APT069,PLG062,KRY100,SUP029,2,55500,0.0,111000,22000,Kredit,Apotek Ritel Internal
FKT00063,28/10/2026,PRD040,APT085,PLG067,KRY096,SUP042,5,92000,0.0,460000,67500,Kredit,Apotek Ritel Internal
FKT00064,25/12/2026,PRD116,APT087,PLG058,KRY077,SUP059,1,25000,,25000,6500,Tunai,Apotek Ritel Internal
FKT00065,2026-08-31,PRD073,APT061,PLG003,KRY029,SUP007,1,74500,3700.0,70800,8800,Debit,Apotek Ritel Internal
FKT00066,05/08/2026,PRD099,APT045,PLG056,KRY090,SUP002,2,63500,6400.0,120600,13600,Kredit,Apotek Ritel Internal
FKT00067,22-12-2026,PRD116,APT086,PLG144,KRY083,SUP059,3,25000,0.0,75000,19500,Tunai,Apotek Ritel Internal
FKT00068,21-06-2026,PRD038,APT026,PLG077,KRY048,SUP020,1,80000,8000.0,72000,10500,E-Wallet,Apotek Ritel Internal
FKT00069,26-07-2026,PRD076,APT074,PLG128,KRY087,SUP002,1,53000,0.0,53000,10500,Tunai,Apotek Ritel Internal
FKT00070,26-10-2026,PRD066,APT018,PLG057,KRY116,SUP056,6,90000,0.0,540000,63000,Debit,Apotek Ritel Internal
FKT00071,2026-03-29,PRD103,APT018,PLG025,KRY116,SUP042,1,17000,800.0,16200,1700,E-Wallet,Apotek Ritel Internal
FKT00072,2026-04-04,PRD107,APT066,PLG057,KRY046,SUP059,1,80000,0.0,80000,8500,Debit,Apotek Ritel Internal
FKT00073,10-07-2026,PRD034,APT087,PLG121,KRY077,SUP049,5,100000,10000.0,490000,107500,E-Wallet,Apotek Ritel Internal
FKT00074,06-02-2026,PRD023,APT012,PLG098,KRY039,SUP097,2,56500,0.0,113000,17000,QRIS,Apotek Ritel Internal
FKT00075,25/06/2026,PRD065,APT091,PLG118,KRY007,SUP039,2,82000,0.0,164000,39000,Tunai,Apotek Ritel Internal
FKT00076,07/09/2026,PRD120,APT030,PLG015,KRY013,SUP033,2,24500,2400.0,46600,7600,QRIS,Apotek Ritel Internal
FKT00077,2026-10-23,PRD056,APT078,PLG023,KRY004,SUP011,3,89500,0.0,268500,43500,Kredit,Apotek Ritel Internal
FKT00078,02/09/2026,PRD003,APT019,PLG096,KRY002,SUP006,6,32500,0.0,195000,33000,Tunai,Apotek Ritel Internal
FKT00079,2026-11-17,PRD027,APT088,PLG080,KRY017,SUP034,1,29500,600.0,28900,2900,QRIS,Apotek Ritel Internal
FKT00080,2026-02-03,PRD034,APT029,PLG134,KRY077,SUP049,2,99500,19900.0,179100,26100,QRIS,Apotek Ritel Internal
FKT00081,2026-06-25,PRD056,APT078,PLG043,KRY118,SUP011,1,88500,4400.0,84100,9100,QRIS,Apotek Ritel Internal
FKT00082,19-04-2026,PRD068,APT016,PLG094,KRY092,SUP067,3,29500,0.0,88500,13500,Debit,Apotek Ritel Internal
FKT00083,01-10-2026,PRD068,APT005,PLG028,KRY084,SUP067,5,29500,,144500,19500,Kredit,Apotek Ritel Internal
FKT00084,16-08-2026,PRD063,APT046,PLG040,KRY027,SUP083,3,84500,0.0,253500,36000,Kredit,Apotek Ritel Internal
FKT00085,09-12-2026,PRD070,APT072,PLG108,KRY041,SUP021,2,22000,0.0,44000,12000,Tunai,Apotek Ritel Internal
FKT00086,2026-02-24,PRD069,APT080,PLG134,KRY076,SUP061,2,73500,0.0,147000,16000,Tunai,Apotek Ritel Internal
FKT00087,2026-10-08,PRD025,APT094,PLG085,KRY031,SUP022,1,72000,,72000,17500,Tunai,Apotek Ritel Internal
FKT00088,21/10/2026,PRD015,APT009,PLG131,KRY067,SUP018,4,21500,,77400,3400,QRIS,Apotek Ritel Internal
FKT00089,2026-08-22,PRD034,APT045,PLG026,KRY066,SUP049,5,99500,0.0,497500,115000,Debit,Apotek Ritel Internal
FKT00090,07-08-2026,PRD009,APT078,PLG012,KRY004,SUP028,5,78500,7800.0,384700,87200,Debit,Apotek Ritel Internal
FKT00091,03/07/2026,PRD114,APT025,PLG024,KRY048,SUP057,5,57500,0.0,287500,37500,Kredit,Apotek Ritel Internal
FKT00092,2026-08-22,PRD046,APT087,PLG108,KRY077,SUP085,1,41000,2000.0,39000,5000,QRIS,Apotek Ritel Internal
FKT00093,23-02-2026,PRD068,APT082,PLG113,KRY080,SUP067,3,30000,1800.0,88200,13200,QRIS,Apotek Ritel Internal
FKT00094,05/09/2026,PRD011,APT039,PLG012,KRY045,SUP026,1,49000,0.0,49000,6500,E-Wallet,Apotek Ritel Internal
FKT00095,2026-10-23,PRD027,APT096,PLG087,KRY067,SUP034,2,30000,1200.0,58800,6800,Kredit,Apotek Ritel Internal
FKT00096,05-12-2026,PRD055,APT067,PLG099,KRY044,SUP010,5,65500,32800.0,294700,24700,E-Wallet,Apotek Ritel Internal
FKT00097,2026-05-17,PRD099,APT087,PLG043,KRY077,SUP002,4,63000,0.0,252000,38000,Debit,Apotek Ritel Internal
FKT00098,26-01-2026,PRD063,APT036,PLG061,KRY093,SUP083,2,84000,0.0,168000,23000,Kredit,Apotek Ritel Internal
FKT00099,17/08/2026,PRD118,APT077,PLG005,KRY117,SUP098,2,32000,1300.0,62700,4700,Tunai,Apotek Ritel Internal
FKT00100,16-02-2026,PRD116,APT065,PLG131,KRY083,SUP059,1,26000,0.0,26000,7500,Debit,Apotek Ritel Internal
FKT00101,2026-07-06,PRD094,APT086,PLG085,KRY072,SUP075,4,40500,0.0,162000,28000,Debit,Apotek Ritel Internal
FKT00102,2026-05-01,PRD040,APT084,PLG075,KRY095,SUP042,4,92000,36800.0,331200,17200,Kredit,Apotek Ritel Internal
FKT00103,13-03-2026,PRD085,APT039,PLG066,KRY045,SUP005,1,26500,0.0,26500,4500,QRIS,Apotek Ritel Internal
FKT00104,02-11-2026,PRD110,APT085,PLG032,KRY099,SUP053,6,54000,6500.0,317500,68500,E-Wallet,Apotek Ritel Internal
FKT00105,10-03-2026,PRD001,APT077,PLG142,KRY117,SUP034,5,32000,16000.0,144000,16500,QRIS,Apotek Ritel Internal
FKT00106,2026-12-21,PRD083,APT013,PLG100,KRY061,SUP031,2,35000,0.0,70000,16000,E-Wallet,Apotek Ritel Internal
FKT00107,21/12/2026,PRD031,APT096,PLG076,KRY058,SUP017,5,26000,0.0,130000,17500,E-Wallet,Apotek Ritel Internal
FKT00108,03-06-2026,PRD063,APT030,PLG142,KRY013,SUP083,1,84000,4200.0,79800,7300,Debit,Apotek Ritel Internal
FKT00109,17-05-2026,PRD061,APT065,PLG030,KRY033,SUP091,3,39000,2300.0,114700,17200,Kredit,Apotek Ritel Internal
FKT00110,12/12/2026,PRD098,APT028,PLG109,KRY005,SUP046,2,64000,0.0,128000,25000,Tunai,Apotek Ritel Internal
FKT00111,2026-06-25,PRD090,APT098,PLG065,KRY019,SUP096,5,46500,11600.0,220900,23400,QRIS,Apotek Ritel Internal
FKT00112,04/11/2026,PRD070,APT069,PLG144,KRY003,SUP021,4,22000,0.0,88000,24000,E-Wallet,Apotek Ritel Internal
FKT00113,2026-12-23,PRD075,APT093,PLG100,KRY054,SUP063,8,77500,0.0,620000,148000,E-Wallet,Apotek Ritel Internal
FKT00114,07-06-2026,PRD070,APT081,PLG114,KRY097,SUP021,6,22500,6800.0,128200,32200,Debit,Apotek Ritel Internal
FKT00115,29/10/2026,PRD069,APT080,PLG050,KRY076,SUP061,2,74500,0.0,149000,18000,QRIS,Apotek Ritel Internal
FKT00116,14-04-2026,PRD031,APT025,PLG042,KRY075,SUP017,5,25500,0.0,127500,15000,QRIS,Apotek Ritel Internal
FKT00117,20/06/2026,PRD004,APT094,PLG078,KRY063,SUP043,4,15500,0.0,62000,16000,Debit,Apotek Ritel Internal
FKT00118,17/05/2026,PRD006,APT051,PLG107,KRY053,SUP025,1,84500,8400.0,76100,2600,Debit,Apotek Ritel Internal
FKT00119,19-06-2026,PRD026,APT078,PLG136,KRY118,SUP073,10,67000,0.0,670000,140000,Debit,Apotek Ritel Internal
FKT00120,20/12/2026,PRD028,APT004,PLG083,KRY071,SUP049,6,61500,0.0,369000,93000,E-Wallet,Apotek Ritel Internal
FKT00121,2026-12-27,PRD088,APT051,PLG131,KRY053,SUP087,2,61000,12200.0,109800,19800,QRIS,Apotek Ritel Internal
FKT00122,14-06-2026,PRD114,APT015,PLG138,KRY074,SUP057,3,57500,3400.0,169100,19100,QRIS,Apotek Ritel Internal
FKT00123,2026-12-17,PRD010,APT054,PLG112,KRY079,SUP085,4,49000,0.0,196000,40000,Debit,Apotek Ritel Internal
FKT00124,06/04/2026,PRD091,APT056,PLG148,KRY036,SUP022,6,18500,0.0,111000,18000,Kredit,Apotek Ritel Internal
FKT00125,10-08-2026,PRD046,APT012,PLG002,KRY039,SUP085,4,40500,0.0,162000,26000,Tunai,Apotek Ritel Internal
FKT00126,2026-07-03,PRD010,APT081,PLG078,KRY097,SUP085,1,49000,0.0,49000,10000,Tunai,Apotek Ritel Internal
FKT00127,05/05/2026,PRD086,APT082,PLG140,KRY080,SUP068,8,66000,0.0,528000,56000,Debit,Apotek Ritel Internal
FKT00128,2026-01-06,PRD064,APT013,PLG002,KRY061,SUP040,2,32000,0.0,64000,16000,Debit,Apotek Ritel Internal
FKT00129,2026-04-19,PRD073,APT051,PLG042,KRY049,SUP007,1,74500,0.0,74500,12500,QRIS,Apotek Ritel Internal
FKT00130,10-12-2026,PRD099,APT087,PLG141,KRY077,SUP002,3,62500,0.0,187500,27000,Tunai,Apotek Ritel Internal
FKT00131,16/12/2026,PRD114,APT035,PLG061,KRY094,SUP057,1,57000,5700.0,51300,1300,Debit,Apotek Ritel Internal
FKT00132,2026-09-06,PRD070,APT029,PLG150,KRY020,SUP021,3,21500,3200.0,61300,13300,Kredit,Apotek Ritel Internal
FKT00133,2026-05-26,PRD027,APT077,PLG112,KRY117,SUP034,5,29000,2900.0,142100,12100,Debit,Apotek Ritel Internal
FKT00134,03-09-2026,PRD041,APT029,PLG142,KRY014,SUP060,1,46500,0.0,46500,12500,Debit,Apotek Ritel Internal
FKT00135,13-03-2026,PRD023,APT076,PLG020,KRY094,SUP097,1,56000,2800.0,53200,5200,Tunai,Apotek Ritel Internal
FKT00136,2026-10-25,PRD088,APT020,PLG010,KRY071,SUP087,1,61500,0.0,61500,16500,QRIS,Apotek Ritel Internal
FKT00137,07-07-2026,PRD106,APT060,PLG075,KRY018,SUP072,2,72500,0.0,145000,38000,Debit,Apotek Ritel Internal
FKT00138,2026-05-28,PRD116,APT098,PLG043,KRY097,SUP059,2,25000,0.0,50000,13000,E-Wallet,Apotek Ritel Internal
FKT00139,17-10-2026,PRD116,APT077,PLG124,KRY117,SUP059,1,25000,0.0,25000,6500,Debit,Apotek Ritel Internal
FKT00140,17-05-2026,PRD107,APT035,PLG121,KRY101,SUP059,6,79500,71600.0,405400,0,Debit,Apotek Ritel Internal
FKT00141,2026-02-22,PRD059,APT084,PLG068,KRY025,SUP085,2,35500,0.0,71000,11000,Tunai,Apotek Ritel Internal
FKT00142,2026-09-22,PRD116,APT022,PLG104,KRY086,SUP059,5,25000,0.0,125000,32500,Kredit,Apotek Ritel Internal
FKT00143,15-05-2026,PRD018,APT007,PLG072,KRY028,SUP031,1,84500,0.0,84500,19500,Tunai,Apotek Ritel Internal
FKT00144,24-06-2026,PRD011,APT069,PLG123,KRY003,SUP026,3,50000,7500.0,142500,15000,Tunai,Apotek Ritel Internal
FKT00145,2026-12-19,PRD017,APT064,PLG011,KRY027,SUP097,1,71500,7200.0,64300,3800,E-Wallet,Apotek Ritel Internal
FKT00146,2026-07-27,PRD064,APT002,PLG073,KRY082,SUP040,1,33000,5000.0,28000,4000,Kredit,Apotek Ritel Internal
FKT00147,20-11-2026,PRD014,APT060,PLG047,KRY080,SUP023,3,65500,0.0,196500,25500,Debit,Apotek Ritel Internal
FKT00148,21-08-2026,PRD006,APT036,PLG034,KRY093,SUP025,1,85000,8500.0,76500,3000,E-Wallet,Apotek Ritel Internal
FKT00149,17/12/2026,PRD015,APT010,PLG122,KRY034,SUP018,5,22500,0.0,112500,20000,Tunai,Apotek Ritel Internal
FKT00150,17-02-2026,PRD012,APT061,PLG001,KRY115,SUP054,8,15500,2500.0,121500,25500,E-Wallet,Apotek Ritel Internal
FKT00151,04-08-2026,PRD004,APT053,PLG059,KRY043,SUP043,4,15000,0.0,60000,14000,E-Wallet,Apotek Ritel Internal
FKT00152,20-02-2026,PRD029,APT078,PLG022,KRY118,SUP096,3,71000,0.0,213000,24000,QRIS,Apotek Ritel Internal
FKT00153,03/01/2026,PRD091,APT059,PLG031,KRY104,SUP022,2,18500,700.0,36300,5300,Debit,Apotek Ritel Internal
FKT00154,29-07-2026,PRD016,APT065,PLG065,KRY033,SUP071,5,81000,8100.0,396900,59400,E-Wallet,Apotek Ritel Internal
FKT00155,22-05-2026,PRD046,APT020,PLG142,KRY101,SUP085,3,40000,0.0,120000,18000,E-Wallet,Apotek Ritel Internal
FKT00156,05-09-2026,PRD035,APT033,PLG102,KRY014,SUP090,5,39000,0.0,195000,25000,QRIS,Apotek Ritel Internal
FKT00157,2026-08-17,PRD114,APT010,PLG131,KRY120,SUP057,4,58000,4600.0,227400,27400,Tunai,Apotek Ritel Internal
FKT00158,24/03/2026,PRD072,APT082,PLG038,KRY080,SUP015,6,41500,0.0,249000,39000,Debit,Apotek Ritel Internal
FKT00159,2026-04-24,PRD069,APT075,PLG103,KRY099,SUP061,4,74000,0.0,296000,34000,QRIS,Apotek Ritel Internal
FKT00160,2026-11-24,PRD001,APT087,PLG133,KRY077,SUP034,1,32500,0.0,32500,7000,QRIS,Apotek Ritel Internal
FKT00161,12/04/2026,PRD028,APT001,PLG041,KRY072,SUP049,10,62000,0.0,620000,160000,Kredit,Apotek Ritel Internal
FKT00162,2026-07-27,PRD059,APT077,PLG018,KRY117,SUP085,2,36500,3600.0,69400,9400,E-Wallet,Apotek Ritel Internal
FKT00163,28/06/2026,PRD093,APT023,PLG050,KRY030,SUP024,6,98000,0.0,588000,138000,QRIS,Apotek Ritel Internal
FKT00164,28/07/2026,PRD064,APT050,PLG088,KRY075,SUP040,5,32500,16200.0,146300,26300,E-Wallet,Apotek Ritel Internal
FKT00165,2026-05-09,PRD116,APT057,PLG063,KRY097,SUP059,2,25000,1000.0,49000,12000,E-Wallet,Apotek Ritel Internal
FKT00166,15-01-2026,PRD030,APT037,PLG057,KRY021,SUP084,5,15500,11600.0,65900,8400,E-Wallet,Apotek Ritel Internal
FKT00167,2026-06-08,PRD033,APT037,PLG088,KRY021,SUP021,3,23500,0.0,70500,18000,Debit,Apotek Ritel Internal
FKT00168,22-04-2026,PRD031,APT095,PLG049,KRY091,SUP017,4,26000,5200.0,98800,8800,Debit,Apotek Ritel Internal
FKT00169,2026-05-27,PRD070,APT014,PLG028,KRY040,SUP021,6,22500,20200.0,114800,18800,Kredit,Apotek Ritel Internal
FKT00170,02-12-2026,PRD099,APT035,PLG081,KRY101,SUP002,6,63500,38100.0,342900,21900,Kredit,Apotek Ritel Internal
FKT00171,2026-04-04,PRD109,APT027,PLG057,KRY002,SUP029,1,55500,0.0,55500,11000,E-Wallet,Apotek Ritel Internal
FKT00172,17/01/2026,PRD046,APT070,PLG045,KRY058,SUP085,10,41000,0.0,410000,70000,Debit,Apotek Ritel Internal
FKT00173,2026-05-13,PRD066,APT032,PLG067,KRY037,SUP056,2,89000,0.0,178000,19000,E-Wallet,Apotek Ritel Internal
FKT00174,25/06/2026,PRD057,APT020,PLG096,KRY047,SUP067,5,42500,0.0,212500,55000,E-Wallet,Apotek Ritel Internal
FKT00175,2026-03-09,PRD077,APT083,PLG070,KRY068,SUP083,3,69500,0.0,208500,22500,QRIS,Apotek Ritel Internal
FKT00176,2026-08-31,PRD020,APT050,PLG133,KRY075,SUP089,4,39000,0.0,156000,26000,E-Wallet,Apotek Ritel Internal
FKT00177,2026-01-25,PRD077,APT006,PLG066,KRY029,SUP083,5,69000,0.0,345000,35000,Debit,Apotek Ritel Internal
FKT00178,2026-05-14,PRD064,APT094,PLG066,KRY045,SUP040,1,32000,0.0,32000,8000,E-Wallet,Apotek Ritel Internal
FKT00179,12/04/2026,PRD073,APT054,PLG073,KRY079,SUP007,2,75000,0.0,150000,26000,Kredit,Apotek Ritel Internal
FKT00180,10/02/2026,PRD032,APT064,PLG038,KRY027,SUP033,3,81000,0.0,243000,55500,E-Wallet,Apotek Ritel Internal
FKT00181,20/10/2026,PRD107,APT008,PLG088,KRY030,SUP059,2,81000,0.0,162000,19000,Debit,Apotek Ritel Internal
FKT00182,06/11/2026,PRD031,APT043,PLG093,KRY096,SUP017,3,26000,0.0,78000,10500,QRIS,Apotek Ritel Internal
FKT00183,22/05/2026,PRD029,APT077,PLG021,KRY117,SUP096,1,70000,0.0,70000,7000,Kredit,Apotek Ritel Internal
FKT00184,17-11-2026,PRD088,APT008,PLG068,KRY080,SUP087,1,62000,6200.0,55800,10800,Kredit,Apotek Ritel Internal
FKT00185,15/06/2026,PRD071,APT013,PLG044,KRY010,SUP098,1,73000,7300.0,65700,11700,Debit,Apotek Ritel Internal
FKT00186,2026-09-01,PRD102,APT094,PLG141,KRY057,SUP057,1,10500,0.0,10500,2500,E-Wallet,Apotek Ritel Internal
FKT00187,2026-11-02,PRD087,APT088,PLG112,KRY068,SUP061,3,25500,0.0,76500,9000,Debit,Apotek Ritel Internal
FKT00188,04/09/2026,PRD092,APT043,PLG094,KRY053,SUP048,1,48000,0.0,48000,7500,E-Wallet,Apotek Ritel Internal
FKT00189,11/03/2026,PRD054,APT001,PLG126,KRY072,SUP007,1,53500,2700.0,50800,4300,E-Wallet,Apotek Ritel Internal
FKT00190,29/04/2026,PRD063,APT018,PLG144,KRY116,SUP083,2,83500,8400.0,158600,13600,Kredit,Apotek Ritel Internal
FKT00191,2026-04-14,PRD071,APT051,PLG070,KRY053,SUP098,3,73500,11000.0,209500,47500,Kredit,Apotek Ritel Internal
FKT00192,07-04-2026,PRD021,APT028,PLG117,KRY006,SUP070,1,65500,0.0,65500,10500,Debit,Apotek Ritel Internal
FKT00193,2026-12-01,PRD022,APT010,PLG069,KRY108,SUP075,4,72000,0.0,288000,78000,Tunai,Apotek Ritel Internal
FKT00194,11/05/2026,PRD048,APT081,PLG128,KRY103,SUP033,2,43500,0.0,87000,12000,QRIS,Apotek Ritel Internal
FKT00195,29-01-2026,PRD046,APT055,PLG047,KRY107,SUP085,6,40000,12000.0,228000,24000,Tunai,Apotek Ritel Internal
FKT00196,2026-03-04,PRD082,APT037,PLG114,KRY021,SUP062,4,74500,0.0,298000,58000,Tunai,Apotek Ritel Internal
FKT00197,2026-09-24,PRD025,APT037,PLG080,KRY021,SUP022,1,72000,0.0,72000,17500,E-Wallet,Apotek Ritel Internal
FKT00198,21-11-2026,PRD034,APT035,PLG014,KRY094,SUP049,10,99500,19900.0,975100,210100,Debit,Apotek Ritel Internal
